final_text,label,confidence
@SherrySakura99 Mirip2 mbg yang keracunan cuma 0 ...% kok di besar2kan... Itu yang ketauan lho yang masih ketutup gimana.,neutral,0.4244178804805865
@riicnees Makan mbg,neutral,0.46747692813390873
Rieut ningali berita kawas kieu teh. Ngahajakeun pisan jaralmi polontong dipilihan kanggo kegiatan MBG. Pedah saterasna kieu ameh barudah arirang jadi baralegug ktu?,negative,0.4848777287897935
@KangManto123 Moxel gini yg merusak niat awal MBG,negative,0.5650451233358736
Yang nyebar narasi disinformasi Yang Relawan Prabowo-Gibran Akan Bentuk Tim Siber Lawan Narasi Fitnah MBG https://t.co/aA28nCK4fG,positive,0.4701108405424773
Ojo di kandani ngon e mbok nanung Ndak dadi Vendor MBG kono ,negative,0.45243782716132264
pov gue abis ceritain work flow mbg ke bokap https://t.co/Sgz6wihJW7,negative,0.47607065029171786
Ini kek nyebut kasus keracunan mbg cuma 0 00014% (or something idk). Kasus kek gini harusnya gak dilihat sebagai statistik.,negative,0.5220675129982139
@chiitatot @zukiyaaki APALAH MAMIZU KOK MBG aku kan makan bekel dr mamizu ,negative,0.48742247131340904
499 orang di Cisarua Bandung Barat keracunan massal usai konsumsi makanan program MBG dari dapur SPPG Kampung Panyandaan. Kondisi mulai membaik tim medis tetap siaga. #KeracunanMassal #MBGCisarua #BandungBarat #mdkan #mdkmrs https://t.co/SMQRSDphwg,positive,0.45638292946969256
Yg begini ini yg harusnya jauh lebih mendesak dr mbg,negative,0.6325561227045353
@yoonckae My pleasure Kakak imup. WOWOK YANG ini ga bagi bagi mbg ya ges.,negative,0.4554560875917211
@kompascom Bisa kasih MBG puluhan triliun sementara sekolahnya bobrok.. Ironis ...,negative,0.5444355030253046
@hafsabadoobee mana mbg yg kau janjikan,negative,0.6325962000076163
@pedansaleg @ARSIPAJA Ya klaim itu berasal dari pernyataan Wakil Kepala BGN Nanik S Deyang pada 14 Oktober 2025 bahwa Presiden Prabowo menghitung sendiri dan menyimpulkan Rp 10.000 cukup untuk menu MBG dengan ayam dan telur tanpa markup. Namun beberapa pemilik warteg dan laporan publik meragukan,neutral,0.43467678540222393
@KangManto123 Terkutuklah tukang palak program MBG,negative,0.485132310286737
